Utbildningsanordnare, administrativ enhet;Administrativ enhet, besöksadress;Administrativ enhet, postadress;Administrativ enhet, postnummer;Administrativ enhet, postort;Administrativ enhet, e-post;Telefonnummer;Utbildningsnummer;Utbildningsnamn;Studieort;Studieform;Status;Beviljade platser;Antal Studerande
KYH AB;Årstaängsvägen 33;Årstaängsvägen 33;11743;Stockholm;emma.ackerskold@kyh.se;076-5266935;YH02352;Byggnadsingenjör Glas och Fasad;Göteborg, Liljeholmen, Malmö, Vimmerby;Distans;Beviljat;35;
KYH AB;Årstaängsvägen 33;Årstaängsvägen 33;11743;Stockholm;emma.ackerskold@kyh.se;076-5266935;YH02410;Automationstekniker;Avesta, Gävle, Hudiksvall, Östersund;Bunden;Beviljat;32;
KYH AB;Årstaängsvägen 33;Årstaängsvägen 33;11743;Stockholm;emma.ackerskold@kyh.se;076-5266935;YH02480;Cybersäkerhet inom kritisk infrastruktur;Liljeholmen;Distans;Startat;100;42
KYH AB;Årstaängsvägen 33;Årstaängsvägen 33;11743;Stockholm;emma.ackerskold@kyh.se;076-5266935;YH02715;VVS-ingenjör;Eskilstuna, Göteborg;Distans;Beviljat;35;
KYH AB Göteborg;Vintergatan 1A;Vintergatan 1;41758;Göteborg;annika.jidegren@kyh.se;0768-852135;YH00482;Miljösamordnare Hållbara byggnader;Göteborg;Bunden;Beviljat;35;
KYH AB Göteborg;Vintergatan 1A;Vintergatan 1;41758;Göteborg;annika.jidegren@kyh.se;0768-852135;YH00589;Entreprenadingenjör;Göteborg;Bunden;Beviljat;35;
KYH AB Göteborg;Vintergatan 1A;Vintergatan 1;41758;Göteborg;annika.jidegren@kyh.se;0768-852135;YH00915;Byggproduktionsledare;Göteborg;Bunden;Beviljat;32;
KYH AB Göteborg;Vintergatan 1A;Vintergatan 1;41758;Göteborg;annika.jidegren@kyh.se;0768-852135;YH01058;Projektledare Solenergi;Göteborg;Bunden;Beviljat;25;
KYH AB Göteborg;Vintergatan 1A;Vintergatan 1;41758;Göteborg;annika.jidegren@kyh.se;0768-852135;YH02347;Mätningsingenjör Bygg och Anläggning;Göteborg;Bunden;Beviljat;35;
KYH AB Malmö;Östra Förstadsgatan 46;Östra Förstadsgatan 46;21212;Malmö;ylva.bockman@kyh.se;0768-852115;YH00079;Lönekonsult;Malmö;Bunden;Beviljat;35;
KYH AB Malmö;Östra Förstadsgatan 46;Östra Förstadsgatan 46;21212;Malmö;ylva.bockman@kyh.se;0768-852115;YH00580;Mätningsingenjör bygg och anläggning;Malmö;Bunden;Beviljat;32;
KYH AB Malmö;Östra Förstadsgatan 46;Östra Förstadsgatan 46;21212;Malmö;ylva.bockman@kyh.se;0768-852115;YH00914;Byggproduktionsledare ROT;Malmö;Bunden;Beviljat;35;
KYH AB Malmö;Östra Förstadsgatan 46;Östra Förstadsgatan 46;21212;Malmö;ylva.bockman@kyh.se;0768-852115;YH01166;Entreprenadingenjör - hållbart byggande;Malmö;Bunden;Beviljat;35;
KYH AB Malmö;Östra Förstadsgatan 46;Östra Förstadsgatan 46;21212;Malmö;ylva.bockman@kyh.se;0768-852115;YH02349;Energiingenjör;Malmö;Bunden;Beviljat;35;
KYH AB Malmö;Östra Förstadsgatan 46;Östra Förstadsgatan 46;21212;Malmö;ylva.bockman@kyh.se;0768-852115;YH02350;VA-projektör;Malmö;Bunden;Beviljat;35;
KYH AB Stockholm;Årstaängsvägen 33;Årstaängsvägen 33;11743;Stockholm;peter.brasch@kyh.se;076-8852124;YH00715;Fastighetstekniker;Liljeholmen;Bunden;Beviljat;35;
KYH AB Stockholm;Årstaängsvägen 33;Årstaängsvägen 33;11743;Stockholm;peter.brasch@kyh.se;076-8852124;YH02447;Systemutvecklare med inriktning industriell IT-säkerhet;Liljeholmen;Bunden;Beviljat;35;
KYH AB Stockholm;Årstaängsvägen 33;Årstaängsvägen 33;11743;Stockholm;peter.brasch@kyh.se;076-8852124;YH02670;Projektledare solenergi;Liljeholmen;Bunden;Beviljat;35;
Köpings kommun;Glasgatan 20 B;Köpings kommun Kompetenscenter;73185;Köping;anna-klara.sjolund@koping.se;0221-25520;YH00738;Produktionstekniker;Eskilstuna, Fagersta, Köping, Västerås;Bunden;Beviljat;20;
Köpings kommun;Glasgatan 20 B;Köpings kommun Kompetenscenter;73185;Köping;anna-klara.sjolund@koping.se;0221-25520;YH01693;Specialistundersköterska inom vård och omsorg av äldre;Fagersta, Köping;Bunden;Beviljat;25;
Landskrona Stad, Yrkeshögskolan Landskrona;Järnvägsgatan 8;Stadshuset ;26180;Landskrona;verica.vasicabrahamsson@landskrona.se;0418-474650;YH00143;Eventkoordinator;Landskrona;Bunden;Beviljat;30;
Landskrona Stad, Yrkeshögskolan Landskrona;Järnvägsgatan 8;Stadshuset ;26180;Landskrona;verica.vasicabrahamsson@landskrona.se;0418-474650;YH00149;Hud- och spaterapeut;Landskrona;Bunden;Beviljat;20;
Landskrona Stad, Yrkeshögskolan Landskrona;Järnvägsgatan 8;Stadshuset ;26180;Landskrona;verica.vasicabrahamsson@landskrona.se;0418-474650;YH00419;Stödpedagog inom funktionshinderområdet;Landskrona;Distans;Beviljat;30;
Landskrona Stad, Yrkeshögskolan Landskrona;Järnvägsgatan 8;Stadshuset ;26180;Landskrona;verica.vasicabrahamsson@landskrona.se;0418-474650;YH00424;Medicinsk vårdadministratör;Landskrona;Bunden;Beviljat;22;
Lapplands kommunalförbund, Lapplands lärcentra;Midnattssolsvägen 25;Kansliet;98185;Kiruna;susanne.andersson@lapplands.se;0980-75555;YH02336;Processtekniker med vätgaskompetens;Gällivare, Härnösand, Ånge;Distans;Beviljat;20;
Lapplands kommunalförbund, Lapplands lärcentra;Midnattssolsvägen 25;Kansliet;98185;Kiruna;susanne.andersson@lapplands.se;0980-75555;YH02399;Bergmaterialingenjör;Gällivare;Distans;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH00031;Elkraftsingenjör;Linköping;Bunden;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH00233;Medicinsk vårdadministratör;Luleå, Umeå, Visby;Distans;Beviljat;35;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH00347;Certifierad produktionstekniker;Trollhättan;Distans;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH00547;Apotekstekniker;Linköping;Distans;Beviljat;35;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH00549;Apotekstekniker;Sundsvall;Distans;Beviljat;35;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH00558;Cloud & ICT Engineer;Stockholm;Bunden;Beviljat;35;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH00569;Ambulanssjukvårdare;Malmö;Bunden;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH00594;Specialistundersköterska inom anestesi, operation och intensivvård;Malmö, Umeå;Distans;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH00946;Mejeritekniker;Götene;Bunden;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH00999;Ventilationsingenjör;Borlänge, Piteå;Distans;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH01044;Ambulanssjukvårdare;Luleå;Distans;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH01052;Internationell vindkraftstekniker;Sundsvall;Bunden;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH01054;Internationell vindkraftstekniker;Piteå;Bunden;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH01093;Medicinsk vårdadministratör  ;Malmö;Bunden;Beviljat;35;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH01510;Ventilationsingenjör;Kalmar;Distans;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH01591;Systemutvecklare i Java och JavaScript;Piteå;Distans;Beviljat;35;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH01608;Specialistundersköterska inom psykiatri;Skellefteå;Distans;Beviljat;35;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH01690;Specialistundersköterska inom laboratoriemedicin;Stockholm;Distans;Beviljat;35;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH01762;Internationell vindkraftstekniker;Skara, Åseda;Bunden;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH01914;DevOps Engineer;Stockholm;Distans;Beviljat;35;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH01957;Certifierad produktionstekniker;Piteå;Distans;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH01962;Underhållsingenjör ;Gällivare, Luleå;Distans;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH01968;Automationstekniker - drift och underhåll av digitala produktionssystem;Piteå;Distans;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH01969;Automationstekniker - drift och underhåll av digitala produktionssystem;Malmö;Distans;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH02044;Ambulanssjukvårdare;Södertälje;Bunden;Beviljat;35;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH02358;Projektledare inom installationsbranschen;Luleå, Malmö, Stockholm;Distans;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH02368;Bygglovshandläggare;Luleå, Lycksele;Distans;Beviljat;35;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH02393;Fiber- och nätverkstekniker;Malmö;Bunden;Beviljat;30;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH02400;Kyl- och värmepumpstekniker;Luleå;Distans;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH02400;Kyl- och värmepumpstekniker;Luleå;Distans;Startat;20;13
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH02421;Kvalitetssamordnare inom industriell tillverkning;Skellefteå, Stockholm;Distans;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH02433;Underhållstekniker el och automation;Sundsvall, Trollhättan;Distans;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH02438;Medicinsk vårdadministratör;Östersund;Bunden;Startat;35;35
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH02663;Systemingenjör industri 4.0;Kalmar;Bunden;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH02671;Kyl- och värmepumpstekniker;Göteborg;Distans;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH02712;Elkraftsingenjör;Luleå;Bunden;Beviljat;20;
Lernia Utbildning AB;Lernia c/o IOFFICE, Olof Palmes gata 11;Box 787;80129;Gävle;yh@lernia.se;0771-650650;YH02713;Beredare elkraft;Karlshamn, Linköping;Distans;Beviljat;20;
Lerums kommun, Vuxenutbildningen;Alingsåsvägen 7;Lerum;44380;Lerum;vuxenutbildningen@lerum.se;0302-52 13 61;YH00582;Trafiklärare;Lerum;Bunden;Startat;30;30
Lerums kommun, Vuxenutbildningen;Alingsåsvägen 7;Lerum;44380;Lerum;vuxenutbildningen@lerum.se;0302-52 13 61;YH02366;Hovslagarutbildning;Lerum;Bunden;Beviljat;12;
Lexicon Yrkeshögskola AB;Kaserngatan 2;Kaserngatan 2;90347;Umeå;info.yh@lexicon.se;090-778600;YH00335;Redovisningsekonom;Umeå;Bunden;Beviljat;30;
Lexicon Yrkeshögskola AB;Kaserngatan 2;Kaserngatan 2;90347;Umeå;info.yh@lexicon.se;090-778600;YH00469;Bygglovshandläggare/Byggnadsinspektör;Örnsköldsvik;Distans;Startat;25;32
Lexicon Yrkeshögskola AB;Kaserngatan 2;Kaserngatan 2;90347;Umeå;info.yh@lexicon.se;090-778600;YH00568;Medicinsk fotterapeut;Örnsköldsvik;Distans;Beviljat;28;
Lexicon Yrkeshögskola AB;Kaserngatan 2;Kaserngatan 2;90347;Umeå;info.yh@lexicon.se;090-778600;YH01739;Miljö- och drifttekniker, vatten och avlopp;Umeå;Distans;Beviljat;25;
Lexicon Yrkeshögskola AB;Kaserngatan 2;Kaserngatan 2;90347;Umeå;info.yh@lexicon.se;090-778600;YH01834;Fotsår hos personer med diabetes;Örnsköldsvik;Distans;Startat;75;24
Lexicon Yrkeshögskola AB;Kaserngatan 2;Kaserngatan 2;90347;Umeå;info.yh@lexicon.se;090-778600;YH02067;Redovisningsekonomens roll i hållbart ledningsgruppsarbete;Umeå;Distans;Startat;120;38
Lexicon Yrkeshögskola AB;Kaserngatan 2;Kaserngatan 2;90347;Umeå;info.yh@lexicon.se;090-778600;YH02514;Framtidens hållbara affärsmodeller;Umeå;Distans;Startat;120;1
Lexicon Yrkeshögskola AB;Kaserngatan 2;Kaserngatan 2;90347;Umeå;info.yh@lexicon.se;090-778600;YH02514;Framtidens hållbara affärsmodeller;Umeå;Distans;Startat;120;19
Lexicon Yrkeshögskola AB;Kaserngatan 2;Kaserngatan 2;90347;Umeå;info.yh@lexicon.se;090-778600;YH02607;Digitala verktyg för redovisningsekonomer;Umeå;Distans;Startat;120;40
Lexicon Yrkeshögskola AB;Kaserngatan 2;Kaserngatan 2;90347;Umeå;info.yh@lexicon.se;090-778600;YH02625;Digitalisera dina utbildningar;Stockholm;Distans;Startat;105;35
Lexicon Yrkeshögskola AB;Kaserngatan 2;Kaserngatan 2;90347;Umeå;info.yh@lexicon.se;090-778600;YH02631;Fotsjukvård vid cytostatikabehandling ;Solna;Distans;Startat;75;26
Lidköpings kommun Campus Lidköping;Fabriksgatan 2;Fabriksgatan 2;53130;Lidköping;campuslidkoping@edu.lidkoping.se;0510-771515;YH00189;Operativ digital kommunikatör;Borås, Lidköping, Uddevalla;Bunden;Startat;35;28
Lidköpings kommun Campus Lidköping;Fabriksgatan 2;Fabriksgatan 2;53130;Lidköping;campuslidkoping@edu.lidkoping.se;0510-771515;YH01083;Laborant;Lidköping, Uddevalla, Varberg;Bunden;Beviljat;35;
Lidköpings kommun Campus Lidköping;Fabriksgatan 2;Fabriksgatan 2;53130;Lidköping;campuslidkoping@edu.lidkoping.se;0510-771515;YH01520;Operativ Produktionstekniker;Lidköping, Skövde;Bunden;Startat;20;5
Linköpings kommun ;Apotekaregatan 13C;Utbildningsförvaltningen;58181;Linköping;per.westerholm@utb.linkoping.se;013-262328;YH00258;Flygtekniker;Linköping;Bunden;Beviljat;20;
Luleå kommun, Vuxenutbildningen;Laboratoriegränd 11;Laboratoriegränd 11;97753;Luleå;yh@amf.lulea.se;0920-45 30 00;YH00509;VVS- och energiingenjör;Luleå;Distans;Beviljat;25;
Luleå kommun, Vuxenutbildningen;Laboratoriegränd 11;Laboratoriegränd 11;97753;Luleå;yh@amf.lulea.se;0920-45 30 00;YH00525;El- och automationsingenjör;Luleå;Distans;Beviljat;25;
Luleå kommun, Vuxenutbildningen;Laboratoriegränd 11;Laboratoriegränd 11;97753;Luleå;yh@amf.lulea.se;0920-45 30 00;YH02001;Järnvägstekniker / Kvalificerad bantekniker;Luleå;Distans;Beviljat;20;
Luleå kommun, Vuxenutbildningen;Laboratoriegränd 11;Laboratoriegränd 11;97753;Luleå;yh@amf.lulea.se;0920-45 30 00;YH02002;Järnvägstekniker / Kvalificerad kontaktledningstekniker;Luleå;Distans;Beviljat;20;
Luleå kommun, Vuxenutbildningen;Laboratoriegränd 11;Laboratoriegränd 11;97753;Luleå;yh@amf.lulea.se;0920-45 30 00;YH02037;Tandsköterska;Luleå;Distans;Beviljat;30;
Lunds universitet Trafikflyghögskolan;Drottningvägen 5;Drottningvägen 5;26451;Ljungbyhed;tfhs@tfhs.lu.se;0435-445400;YH01518;Integrerad trafikflygarutbildning;Ljungbyhed;Bunden;Startat;20;20
Malmö Tillskärarakademi AB;Norra Vallgatan 18, ingång D;Norra Vallgatan 16;21125;Malmö;info@tillskararakademinmalmo.se;-2690953;YH01615;Mönsterkonstruktion/design - CLO3D;Malmö;Distans;Startat;60;30
Malmö Tillskärarakademi AB;Norra Vallgatan 18, ingång D;Norra Vallgatan 16;21125;Malmö;info@tillskararakademinmalmo.se;-2690953;YH01912;Designer-/produktutvecklare med 3D kompetens;Malmö;Bunden;Beviljat;15;
Malmö Tillskärarakademi AB;Norra Vallgatan 18, ingång D;Norra Vallgatan 16;21125;Malmö;info@tillskararakademinmalmo.se;-2690953;YH02550;Mönsterkonstruktion/design - CLO3D, fördjupning ;Malmö;Distans;Startat;40;20
Mariestads kommun, Dacapo Mariestad;Magasingatan 4;Mariestads kommun, Dacapo Mariestad;54286;Mariestad;nathalie.werjefelt@mariestad.se;0501-755776;YH00975;Kulturmålare - traditionellt byggnadsmåleri;Mariestad;Bunden;Beviljat;16;
Mariestads kommun, Dacapo Mariestad;Magasingatan 4;Mariestads kommun, Dacapo Mariestad;54286;Mariestad;nathalie.werjefelt@mariestad.se;0501-755776;YH01124;Fönsterhantverkare- traditionella hantverkstekniker;Mariestad;Bunden;Beviljat;14;
Mariestads kommun, Dacapo Mariestad;Magasingatan 4;Mariestads kommun, Dacapo Mariestad;54286;Mariestad;nathalie.werjefelt@mariestad.se;0501-755776;YH01642;Att tillvarata trädens nytta i staden- från planering till anläggning och skötsel;Mariestad;Distans;Startat;50;25
Mariestads kommun, Dacapo Mariestad;Magasingatan 4;Mariestads kommun, Dacapo Mariestad;54286;Mariestad;nathalie.werjefelt@mariestad.se;0501-755776;YH01643;Bevara och återskapa natur- att integrera natur och naturbaserade lösningar i samhällsbyggnadsprocessen;Mariestad;Distans;Startat;50;25
Mariestads kommun, Dacapo Mariestad;Magasingatan 4;Mariestads kommun, Dacapo Mariestad;54286;Mariestad;nathalie.werjefelt@mariestad.se;0501-755776;YH01844;Hållbara våtmarker i stad och på landsbygd;Mariestad;Distans;Startat;50;25
Mariestads kommun, Dacapo Mariestad;Magasingatan 4;Mariestads kommun, Dacapo Mariestad;54286;Mariestad;nathalie.werjefelt@mariestad.se;0501-755776;YH01928;Förädlingsodlare;Mariestad;Distans;Startat;14;18
Mariestads kommun, Dacapo Mariestad;Magasingatan 4;Mariestads kommun, Dacapo Mariestad;54286;Mariestad;nathalie.werjefelt@mariestad.se;0501-755776;YH01958;Produktionstekniker för framtidens automatiserade industri;Mariestad, Skövde;Bunden;Beviljat;20;
Markaryds kommun, Lärcentrum Markaryd;Villagatan 29;Box 74;28522;Markaryd;vuxenutbildningen@markaryd.se;0433-72251;YH00075;Värmepumpstekniker;Markaryd;Bunden;Beviljat;16;
Medborgarskolan i Stockholm - Påhlmans Handelsinstitut ;Hagagatan 23 A;Box 191 93;10432;Stockholm;info@phi.se;101576441;YH00025;Paralegal;Stockholm;Bunden;Beviljat;35;
Medborgarskolan Syd;Limhamns Folkets Hus, Linnegatan 61;Limhamns Folkets Hus, Linnegatan 61;21614;Limhamn;region.syd@medborgarskolan.se;0752-416850;YH02395;Ljud-, ljus och scentekniker;Eslöv;Bunden;Beviljat;16;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00058;Digital Analytics;Bromma;Bunden;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00163;Front End Developer;Göteborg;Bunden;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00173;Digital Content Designer;Stockholm;Bunden;Beviljat;32;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00193;Webbkommunikatör Sociala Medier;Malmö;Distans;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00194;Digital Kommunikatör - SoMe;Bromma, Göteborg;Distans;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00253;Fullstack Developer;Göteborg;Distans;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00254;Webbutvecklare inom e-handel;Bromma;Bunden;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00606;Onlinemarknadsförare;Bromma;Bunden;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00624;Digital Marketing Manager;Göteborg;Bunden;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00625;Onlinemarknadsförare ;Malmö;Bunden;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00634;Marknadskoordinator;Bromma;Bunden;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00691;Digital Analytics;Malmö;Bunden;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00791;Front End Developer;Stockholm;Bunden;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00791;Front End Developer;Stockholm;Distans;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00792;Front End Developer;Malmö;Bunden;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00884;Professional Video Editor;Bromma;Bunden;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH01026;Marketing Automation;Bromma, Göteborg, Malmö;Distans;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH01189;Digital Content Designer;Malmö;Bunden;Beviljat;32;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH01262;Social Media Marketing;Stockholm;Distans;Startat;240;80
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH01263;Sökmarknadsföring - nya förutsättningar för marknadsförare;Stockholm;Distans;Startat;240;80
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH01799;Blockchainutvecklare;Bromma;Distans;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH01946;Podcastproduktion;Stockholm;Bunden;Beviljat;35;
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH02052;Artificiell Intelligens/Maskininlärning - Databaser och Pythonprogrammering;Malmö;Distans;Startat;90;30
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH02063;Lagar och regler för kommunikatörer och marknadsförare;Stockholm;Distans;Startat;220;55
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH02119;Mjukvarutestning;Stockholm;Distans;Startat;90;24
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH02126;UX och tillgänglighet för utvecklare;Stockholm;Distans;Startat;135;38
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH02303;IoT och digital tvilling - förändrade krav och möjligheter i offentlig verksamhet;Stockholm;Distans;Startat;96;32
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH02545;Martech Operations;Stockholm;Distans;Startat;120;40
Medieinstitutet i Sverige AB;Gustavslundsvägen 151 D;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH02626;Förändringskommunikation;Stockholm;Distans;Startat;150;50
